具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台,浏览人数,申请人数,招聘人数,公司人数,学历限制,经验限制,工作地址,职位描述,公司介绍,公司行业,认证类别,公司招聘职位总数,公司类别
北京·大兴区,北京长期包吃住普工,6-8千,包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|,天津敬文人力资源有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:12:50,51job,回复率高,,少于50人,,,无需经验,北京·大兴区,,,专业服务(咨询、人力资源、财会),,,
北京,招聘设备厂厂万能工,9千-1万,接线|接线|电气图纸|电气图纸|电路图|电路图|装配电工|装配电工|白班|白班|工作餐|工作餐|管吃住|管吃住|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:50,51job,今日回复10+次,,500-1000人,,,无需经验,北京,,,交通/运输/物流,,,
北京,普工,5.5-7千,人走账清|人走账清|,北京朗安伟业建材有限公司,建筑/建材/工程|民营|少于50人|,,,,,,2025/04/02 10:12:50,51job,简历处理快,,少于50人,,,无需经验,北京,,,建筑/建材/工程,,,
北京·通州区,普工,4.5-5.5千·13薪,带薪年假|带薪年假|五险一金|五险一金|包住宿|包住宿|全勤奖|全勤奖|节日福利|节日福利|加班补贴|加班补贴|做五休二|做五休二|,卓越（北京）机电设备有限公司,机械/设备/重工|民营|150-500人|,,,,,,2025/04/02 10:12:51,51job,喜欢聊天,,150-500人,,中技/中专,无需经验,北京·通州区,,,机械/设备/重工,,,
常州,普工坐班包吃住可带手机,8千-1.3万,仓库管理|仓库管理|贴标签|贴标签|品检|品检|包装|包装|扫码|扫码|恒温车间|恒温车间|缴纳五险|缴纳五险|白班|白班|五险一金|五险一金|可预支|可预支|小时工|小时工|普通工衣|普通工衣|宿舍|宿舍|外宿补贴|外宿补贴|人性化|人性化|预支工资|预支工资|上六休一|上六休一|报销路费|报销路费|补贴|补贴|安排住宿|安排住宿|,安徽环益企业管理有限公司,专业服务(咨询、人力资源、财会)|民营|,,,,,,2025/04/02 10:12:51,51job,,,民营,,,无需经验,常州,,,专业服务(咨询、人力资源、财会),,,
北京·海淀区,（管吃）药厂招聘小时工临时工兼职,6-7千,包吃|包吃|临时工|临时工|小时工|小时工|工作餐|工作餐|小时工|小时工|8小时|8小时|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:51,51job,今日回复10+次,,500-1000人,,,无需经验,北京·海淀区,,,交通/运输/物流,,,
北京·大兴区,普工/操作工,5-6千,质检|质检|品检|品检|五险|五险|食宿免费|食宿免费|,鸿博昊天科技有限公司,印刷/包装/造纸|民营|150-500人|,,,,,,2025/04/02 10:12:51,51job,喜欢聊天,,150-500人,,,无需经验,北京·大兴区,,,印刷/包装/造纸,,,
北京·海淀区,零件清洗工,3-4千,,北京普耐特高新技术开发有限公司,计算机软件|民营|,,,,,,2025/04/02 10:12:51,51job,,,民营,,,无需经验,北京·海淀区,,,计算机软件,,,
北京,试剂生产,5-7千,包装|包装|操作工|操作工|库管|库管|试剂分装|试剂分装|五险一金|五险一金|绩效奖金|绩效奖金|年终奖金|年终奖金|通讯补贴|通讯补贴|餐饮补贴|餐饮补贴|交通补贴|交通补贴|,北京索莱宝科技有限公司,制药/生物工程|民营|150-500人|,,,,,,2025/04/02 10:12:45,51job,,,150-500人,,高中,无需经验,北京,,,制药/生物工程,,,
北京·海淀区,（管吃）药厂招聘小时工临时工兼职,6-7千,工作餐|工作餐|工资周结|工资周结|工作餐|工作餐|小时工|小时工|工资周结|工资周结|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:45,51job,今日回复10+次,,500-1000人,,,无需经验,北京·海淀区,,,交通/运输/物流,,,
北京·大兴区,生产操作工程师,6-8千·13薪,五险一金|五险一金|年终奖金|年终奖金|定期体检|定期体检|补充医疗保险|补充医疗保险|带薪年假|带薪年假|免费班车|免费班车|夜班津贴|夜班津贴|岗位津贴|岗位津贴|,福莱克斯光变颜料有限公司,机械/设备/重工|外资（欧美）|,,,,,,2025/04/02 10:12:46,51job,,,外资（欧美）,,本科,4年及以上,北京·大兴区,,,机械/设备/重工,,,
大连,船员,9千-1.3万,水手|水手|搬运工|搬运工|,大连福海源商贸有限公司,贸易/进出口|民营|50-150人|,,,,,,2025/04/02 10:12:46,51job,1分钟前回复,,50-150人,,,无需经验,大连,,,贸易/进出口,,,
北京·通州区,广告雕刻师,5.5千-1万·13薪,包吃住|包吃住|加班补贴|加班补贴|五险|五险|社保|社保|年终奖金|年终奖金|交通补贴|交通补贴|通讯补贴|通讯补贴|,北京新奇汇展广告制作有限公司,广告|民营|少于50人|,,,,,,2025/04/02 10:12:46,51job,回复率高,,少于50人,,中技/中专,无需经验,北京·通州区,,,贸易/进出口,,,
北京·海淀区,（管吃）药厂招聘小时工临时工兼职,6-7千,管吃|管吃|工作餐|工作餐|小时工|小时工|8小时|8小时|周结|周结|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:46,51job,今日回复10+次,,500-1000人,,,无需经验,北京·海淀区,,,交通/运输/物流,,,
北京·大兴区,生产助理 I MA(J10894),6千-1万·13薪,无尘服|无尘服|五险一金|五险一金|补充医疗保险|补充医疗保险|交通补贴|交通补贴|餐饮补贴|餐饮补贴|绩效奖金|绩效奖金|年终奖金|年终奖金|定期体检|定期体检|,长鑫集电（北京）存储技术有限公司,电子技术/半导体/集成电路|民营|1000-5000人|,,,,,,2025/04/02 10:12:46,51job,1天内处理简历,,1000-5000人,,大专,无需经验,北京·大兴区,,,电子技术/半导体/集成电路,,,
北京·海淀区,实验室夜间巡查员,4-5千,夜班|夜班|五险一金|五险一金|交通补贴|交通补贴|餐饮补贴|餐饮补贴|绩效奖金|绩效奖金|节日福利|节日福利|年终奖金|年终奖金|,北京鼎材科技有限公司,石油/化工/矿产/地质|民营|50-150人|,,,,,,2025/04/02 10:12:46,51job,,,50-150人,,高中,1年,北京·海淀区,,,石油/化工/矿产/地质,,,
北京·大兴区,操作员,6-7.5千·14薪,五险一金|五险一金|绩效奖金|绩效奖金|加班补贴|加班补贴|餐饮补贴|餐饮补贴|专业培训|专业培训|定期体检|定期体检|年终奖金|年终奖金|出国机会|出国机会|带薪病假|带薪病假|带薪年假|带薪年假|免费工作餐|免费工作餐|出差补贴|出差补贴|,北京中硅泰克精密技术有限公司,电子技术/半导体/集成电路|民营|少于50人|,,,,,,2025/04/02 10:12:47,51job,喜欢聊天,,少于50人,,中技/中专,3年及以上,北京·大兴区,,,电子技术/半导体/集成电路,,,
北京·昌平区,北京招聘电工操作工包吃住,9千-1万,接线|接线|电气图纸|电气图纸|电路图|电路图|装配电工|装配电工|白班|白班|包吃住|包吃住|工作轻松|工作轻松|工作餐|工作餐|月休4天|月休4天|普工|普工|弹性工作|弹性工作|管吃住|管吃住|小时工|小时工|管吃|管吃|食堂|食堂|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:47,51job,简历处理快,,500-1000人,,,无需经验,北京·昌平区,,,交通/运输/物流,,,
北京·丰台区,运维实习生（150-200元/天）,4-5千,工作餐|工作餐|培训|培训|专业培训|专业培训|节日福利|节日福利|包吃|包吃|,特致珈（北京）控股集团有限公司,计算机服务(系统、数据服务、维修)|民营|50-150人|,,,,,,2025/04/02 10:12:47,51job,喜欢聊天,,50-150人,,本科,无需经验,北京·丰台区,,,计算机服务(系统、数据服务、维修),,,
常州,非流水线普工岗位+包吃包住,8.5千-1.1万·13薪,人走账清|人走账清|绩效奖金|绩效奖金|人走账清|人走账清|包吃|包吃|包住|包住|包吃住|包吃住|五险一金|五险一金|房补|房补|全勤奖|全勤奖|工作轻松|工作轻松|商业保险|商业保险|可预支|可预支|,安徽环益企业管理有限公司,专业服务(咨询、人力资源、财会)|民营|,,,,,,2025/04/02 10:12:47,51job,,,民营,,,无需经验,常州,,,专业服务(咨询、人力资源、财会),,,
北京·大兴区,北京长期包吃住普工,6-8千,包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|,天津敬文人力资源有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:12:47,51job,回复率高,,少于50人,,,无需经验,北京·大兴区,,,专业服务(咨询、人力资源、财会),,,
北京,招聘设备厂厂万能工,9千-1万,接线|接线|电气图纸|电气图纸|电路图|电路图|装配电工|装配电工|白班|白班|工作餐|工作餐|管吃住|管吃住|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:47,51job,今日回复10+次,,500-1000人,,,无需经验,北京,,,交通/运输/物流,,,
北京,普工,5.5-7千,人走账清|人走账清|,北京朗安伟业建材有限公司,建筑/建材/工程|民营|少于50人|,,,,,,2025/04/02 10:12:47,51job,简历处理快,,少于50人,,,无需经验,北京,,,建筑/建材/工程,,,
北京·通州区,普工,4.5-5.5千·13薪,带薪年假|带薪年假|五险一金|五险一金|包住宿|包住宿|全勤奖|全勤奖|节日福利|节日福利|加班补贴|加班补贴|做五休二|做五休二|,卓越（北京）机电设备有限公司,机械/设备/重工|民营|150-500人|,,,,,,2025/04/02 10:12:48,51job,喜欢聊天,,150-500人,,中技/中专,无需经验,北京·通州区,,,机械/设备/重工,,,
常州,普工坐班包吃住可带手机,8千-1.3万,仓库管理|仓库管理|贴标签|贴标签|品检|品检|包装|包装|扫码|扫码|恒温车间|恒温车间|缴纳五险|缴纳五险|白班|白班|五险一金|五险一金|可预支|可预支|小时工|小时工|普通工衣|普通工衣|宿舍|宿舍|外宿补贴|外宿补贴|人性化|人性化|预支工资|预支工资|上六休一|上六休一|报销路费|报销路费|补贴|补贴|安排住宿|安排住宿|,安徽环益企业管理有限公司,专业服务(咨询、人力资源、财会)|民营|,,,,,,2025/04/02 10:12:48,51job,,,民营,,,无需经验,常州,,,专业服务(咨询、人力资源、财会),,,
北京·海淀区,（管吃）药厂招聘小时工临时工兼职,6-7千,包吃|包吃|临时工|临时工|小时工|小时工|工作餐|工作餐|小时工|小时工|8小时|8小时|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:48,51job,今日回复10+次,,500-1000人,,,无需经验,北京·海淀区,,,交通/运输/物流,,,
北京·大兴区,普工/操作工,5-6千,质检|质检|品检|品检|五险|五险|食宿免费|食宿免费|,鸿博昊天科技有限公司,印刷/包装/造纸|民营|150-500人|,,,,,,2025/04/02 10:12:48,51job,喜欢聊天,,150-500人,,,无需经验,北京·大兴区,,,印刷/包装/造纸,,,
北京·海淀区,零件清洗工,3-4千,,北京普耐特高新技术开发有限公司,计算机软件|民营|,,,,,,2025/04/02 10:12:48,51job,,,民营,,,无需经验,北京·海淀区,,,计算机软件,,,
北京,试剂生产,5-7千,包装|包装|操作工|操作工|库管|库管|试剂分装|试剂分装|五险一金|五险一金|绩效奖金|绩效奖金|年终奖金|年终奖金|通讯补贴|通讯补贴|餐饮补贴|餐饮补贴|交通补贴|交通补贴|,北京索莱宝科技有限公司,制药/生物工程|民营|150-500人|,,,,,,2025/04/02 10:12:42,51job,,,150-500人,,高中,无需经验,北京,,,制药/生物工程,,,
北京·海淀区,（管吃）药厂招聘小时工临时工兼职,6-7千,工作餐|工作餐|工资周结|工资周结|工作餐|工作餐|小时工|小时工|工资周结|工资周结|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:42,51job,今日回复10+次,,500-1000人,,,无需经验,北京·海淀区,,,交通/运输/物流,,,
北京·大兴区,生产操作工程师,6-8千·13薪,五险一金|五险一金|年终奖金|年终奖金|定期体检|定期体检|补充医疗保险|补充医疗保险|带薪年假|带薪年假|免费班车|免费班车|夜班津贴|夜班津贴|岗位津贴|岗位津贴|,福莱克斯光变颜料有限公司,机械/设备/重工|外资（欧美）|,,,,,,2025/04/02 10:12:42,51job,,,外资（欧美）,,本科,4年及以上,北京·大兴区,,,机械/设备/重工,,,
大连,船员,9千-1.3万,水手|水手|搬运工|搬运工|,大连福海源商贸有限公司,贸易/进出口|民营|50-150人|,,,,,,2025/04/02 10:12:42,51job,1分钟前回复,,50-150人,,,无需经验,大连,,,贸易/进出口,,,
北京·通州区,广告雕刻师,5.5千-1万·13薪,包吃住|包吃住|加班补贴|加班补贴|五险|五险|社保|社保|年终奖金|年终奖金|交通补贴|交通补贴|通讯补贴|通讯补贴|,北京新奇汇展广告制作有限公司,广告|民营|少于50人|,,,,,,2025/04/02 10:12:43,51job,回复率高,,少于50人,,中技/中专,无需经验,北京·通州区,,,贸易/进出口,,,
北京·海淀区,（管吃）药厂招聘小时工临时工兼职,6-7千,管吃|管吃|工作餐|工作餐|小时工|小时工|8小时|8小时|周结|周结|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:43,51job,今日回复10+次,,500-1000人,,,无需经验,北京·海淀区,,,交通/运输/物流,,,
北京·大兴区,生产助理 I MA(J10894),6千-1万·13薪,无尘服|无尘服|五险一金|五险一金|补充医疗保险|补充医疗保险|交通补贴|交通补贴|餐饮补贴|餐饮补贴|绩效奖金|绩效奖金|年终奖金|年终奖金|定期体检|定期体检|,长鑫集电（北京）存储技术有限公司,电子技术/半导体/集成电路|民营|1000-5000人|,,,,,,2025/04/02 10:12:43,51job,1天内处理简历,,1000-5000人,,大专,无需经验,北京·大兴区,,,电子技术/半导体/集成电路,,,
北京·海淀区,实验室夜间巡查员,4-5千,夜班|夜班|五险一金|五险一金|交通补贴|交通补贴|餐饮补贴|餐饮补贴|绩效奖金|绩效奖金|节日福利|节日福利|年终奖金|年终奖金|,北京鼎材科技有限公司,石油/化工/矿产/地质|民营|50-150人|,,,,,,2025/04/02 10:12:43,51job,,,50-150人,,高中,1年,北京·海淀区,,,石油/化工/矿产/地质,,,
北京·大兴区,操作员,6-7.5千·14薪,五险一金|五险一金|绩效奖金|绩效奖金|加班补贴|加班补贴|餐饮补贴|餐饮补贴|专业培训|专业培训|定期体检|定期体检|年终奖金|年终奖金|出国机会|出国机会|带薪病假|带薪病假|带薪年假|带薪年假|免费工作餐|免费工作餐|出差补贴|出差补贴|,北京中硅泰克精密技术有限公司,电子技术/半导体/集成电路|民营|少于50人|,,,,,,2025/04/02 10:12:43,51job,喜欢聊天,,少于50人,,中技/中专,3年及以上,北京·大兴区,,,电子技术/半导体/集成电路,,,
北京·昌平区,北京招聘电工操作工包吃住,9千-1万,接线|接线|电气图纸|电气图纸|电路图|电路图|装配电工|装配电工|白班|白班|包吃住|包吃住|工作轻松|工作轻松|工作餐|工作餐|月休4天|月休4天|普工|普工|弹性工作|弹性工作|管吃住|管吃住|小时工|小时工|管吃|管吃|食堂|食堂|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:12:43,51job,简历处理快,,500-1000人,,,无需经验,北京·昌平区,,,交通/运输/物流,,,
北京·丰台区,运维实习生（150-200元/天）,4-5千,工作餐|工作餐|培训|培训|专业培训|专业培训|节日福利|节日福利|包吃|包吃|,特致珈（北京）控股集团有限公司,计算机服务(系统、数据服务、维修)|民营|50-150人|,,,,,,2025/04/02 10:12:44,51job,喜欢聊天,,50-150人,,本科,无需经验,北京·丰台区,,,计算机服务(系统、数据服务、维修),,,
